city,province,site,population,region
Este,PD,http://www.comune.este.pd.it/,16364.0,Veneto
Vescovana,PD,http://www.comune.vescovana.pd.it/,1810.0,Veneto
Calliano,AT,http://www.comune.calliano.at.it/,1271.0,Piemonte
Castagnole delle Lanze,AT,http://www.comune.castagnoledellelanze.at.it,3770.0,Piemonte
Duino-Aurisina,TS,http://www.comune.duino-aurisina.ts.it/,8480.0,Friuli-Venezia Giulia
Moasca,AT,http://www.comune.moasca.at.it,492.0,Piemonte
Monastero Bormida,AT,http://www.comune.monasterobormida.at.it,934.0,Piemonte
Monrupino,TS,http://www.monrupino-repentabor.it,883.0,Italia
Castelletto Monferrato,AL,http://www.comune.castelli.te.it,1526.0,Piemonte
Castelspina,AL,http://www.comune.castelspina.al.it,418.0,Piemonte
Camino,AL,http://www.comune.camino.al.it,769.0,Piemonte
Carpeneto,AL,http://www.comune.carpeneto.al.it/,977.0,Piemonte
Parma,PR,http://www.comune.parma.it,195687.0,Emilia-Romagna
Amaro,UD,http://www.comune.amaro.ud.it,857.0,Friuli-Venezia Giulia
Vivaro,PN,http://www.comune.vivaro.pn.it,1343.0,Friuli-Venezia Giulia
Cartosio,AL,http://www.comune.cartosio.al.it/,750.0,Piemonte
Casasco,AL,http://www.comune.casasco.al.it/,137.0,Piemonte
Castelnuovo Don Bosco,AT,http://www.comune.castelnuovodonbosco.at.it,3195.0,Piemonte
Cessole,AT,http://www.comune.cessole.at.it,402.0,Piemonte
Erbé,VR,http://www.comune.erbe.vr.it/,1923.0,Veneto
Roncà,VR,http://www.comune.ronca.vr.it,3833.0,Veneto
Morbello,AL,http://www.comune.morbello.al.it/,423.0,Piemonte
Ottiglio,AL,http://www.comune.ottiglio.al.it/,626.0,Piemonte
Potenza,PZ,http://www.comune.potenza.it/,67211.0,Basilicata
Reggiolo,RE,http://www.comune.reggiolo.re.it/,9110.0,Emilia-Romagna
Grauno,TN,http://www.comunegrauno.it,,Trentino-Alto Adige
Ampezzo,UD,http://www.comune.ampezzo.ud.it/,983.0,Italia
Mira,VE,http://www.comune.mira.ve.it/comuneMira/index.do,38573.0,Veneto
Grauno,TN,http://www.comunegrauno.it,,provincia autonoma di Trento
San Paolo Solbrito,AT,https://www.comune.sanpaolosolbrito.at.it/it,1180.0,Piemonte
Vinchio,AT,http://www.comune.vinchio.at.it,578.0,Piemonte
Crocetta del Montello,TV,http://www.comune.crocetta.tv.it,6106.0,Veneto
Follina,TV,http://www.comune.follina.tv.it,3814.0,Veneto
Siena,SI,http://www.comune.siena.it/,53901.0,Toscana
Gorizia,GO,http://www.comune.gorizia.it,34411.0,Friuli-Venezia Giulia
Quaranti,AT,http://www.comune.quaranti.at.it,173.0,Piemonte
Rocca d'Arazzo,AT,http://www.comune.roccadarazzo.at.it/,905.0,Piemonte
Montechiaro d'Asti,AT,http://www.montechiaro.info,1290.0,Piemonte
Costigliole d'Asti,AT,http://www.comune.costigliole.at.it,5822.0,Piemonte
Cunico,AT,http://www.comune.cunico.at.it/,484.0,Piemonte
Andorno Micca,BI,http://www.comune.andornomicca.bi.it,3218.0,Piemonte
Brusnengo,BI,http://www.comunebrusnengo.it,2036.0,Piemonte
Monteferrante,CH,http://www.comune.monteferrante.ch.it,123.0,Abruzzo
Benevello,CN,http://www.comune.benevello.cn.it,486.0,Piemonte
Castelmagno,CN,http://www.comune.castelmagno.cn.it,61.0,Piemonte
Velezzo Lomellina,PV,http://www.comune.velezzolomellina.pv.it,102.0,Lombardia
Cremolino,AL,http://www.comune.cremolino.al.it/,1076.0,Piemonte
Monzambano,MN,http://www.monzambano.gov.it/,4877.0,Lombardia
Francavilla Bisio,AL,http://www.francavillabisio.com/,508.0,Piemonte
Viadana,MN,http://www.comune.viadana.mn.it/,20044.0,Lombardia
Dolzago,LC,http://www.comune.dolzago.lecco.it/,2515.0,Lombardia
Cologna Veneta,VR,http://www.comune.cologna-veneta.vr.it/,8468.0,Veneto
Rescaldina,MI,http://www.comune.rescaldina.mi.it/,14185.0,Lombardia
Isola Rizza,VR,https://comune.isolarizza.vr.it/,3222.0,Veneto
Borgomale,CN,http://www.comune.borgomale.cn.it/,388.0,Piemonte
Bosia,CN,http://www.comune.bosia.cn.it,180.0,Piemonte
Roncone,TN,http://www.comune.roncone.tn.it,,Trentino-Alto Adige
Rabbi,TN,http://www.comune.rabbi.tn.it/,1363.0,Trentino-Alto Adige
Carema,TO,http://www.comune.carema.to.it/,771.0,Piemonte
Terlago,TN,http://www.comune.terlago.tn.it,,provincia autonoma di Trento
Ceresole d'Alba,CN,http://www.comune.ceresoledalba.cn.it/,2067.0,Piemonte
Costigliole Saluzzo,CN,http://www.comune.costigliolesaluzzo.cn.it,3343.0,Piemonte
Cella Monte,AL,http://www.comunecellamonte.it/,504.0,Piemonte
Coniolo,AL,http://www.comune.coniolo.al.it/,461.0,Piemonte
Cattolica Eraclea,AG,http://www.comune.cattolicaeraclea.ag.it/,3665.0,Sicilia
Cavallino-Treporti,VE,http://www.comune.cavallinotreporti.ve.it,13563.0,Veneto
Motta Visconti,MI,http://www.comune.mottavisconti.mi.it,7980.0,Lombardia
Grondona,AL,http://www.comune.grondona.al.it/,492.0,Piemonte
Occhieppo Superiore,BI,http://www.comune.occhieppo-superiore.bi.it,2728.0,Piemonte
Valle San Nicolao,BI,http://www.comune.valledicasies.bz.it/system/web/default.aspx?sprache=3,1004.0,Piemonte
Terlago,TN,http://www.comune.terlago.tn.it,,Trentino-Alto Adige
Cardè,CN,http://www.comune.carde.cn.it/,1126.0,Piemonte
Caraglio,CN,http://www.comune.caraglio.cn.it,6782.0,Piemonte
Alatri,FR,http://www.comune.alatri.fr.it,28763.0,Lazio
Bruzolo,TO,http://www.comune.bruzolo.to.it,1526.0,Piemonte
Castel di Sangro,AQ,http://www.comune.casteldisangro.aq.it/,6705.0,Abruzzo
Candelo,BI,http://www.comune.candelo.bi.it,7548.0,Piemonte
Donato,BI,http://www.comune.donato.bi.it/,707.0,Piemonte
Ponzone,AL,http://www.comune.ponzone.al.it,1003.0,Piemonte
Ricaldone,AL,http://www.comunericaldone.it,657.0,Piemonte
Borgaro Torinese,TO,http://www.comune.borgaro-torinese.to.it/,11931.0,Piemonte
Castelnuovo Nigra,TO,http://www.comune.castelnuovo-di-garfagnana.lu.it,416.0,Piemonte
Capestrano,AQ,http://www.comunedicapestrano.it,897.0,Abruzzo
Aggius,SS,http://www.comuneaggius.gov.it,1482.0,Sardegna
Castellafiume,AQ,http://www.comune.castellafiume.aq.it/,1092.0,Abruzzo
Cocullo,AQ,http://www.comune.cocullo.aq.it/,219.0,Abruzzo
Sezzadio,AL,http://www.comune.sezzadio.al.gov.it/,1243.0,Piemonte
Solonghello,AL,http://www.comune.solonghello.al.it/,217.0,Piemonte
Candiolo,TO,http://www.comune.candiolo.torino.it/,5644.0,Piemonte
Pavia,PV,http://www.comune.pv.it,72773.0,Lombardia
Bari Sardo,NU,http://www.comunedibarisardo.gov.it/,3993.0,Sardegna
Calvignano,PV,http://www.comune.calvignano.pv.it/,114.0,Lombardia
San Daniele Po,CR,http://www.comune.sandanielepo.cr.it/,1365.0,Lombardia
Derovere,CR,http://www.comune.derovere.cr.it,303.0,Lombardia
Arzana,NU,http://www.comunediarzana.it,2430.0,Sardegna
